lat,lon,status
33.78827721,35.52664917,full
33.5791519,35.4689138,full
33.7397763,35.4997263,full
33.760447,35.517511,full
33.649664,35.441761,full
33.80224699,35.52535627,full
33.2710299,35.19806226,full
33.56788315,35.37822338,full
33.56807269,35.38073523,full
33.54838657,35.52725316,full
33.55680418,35.39645762,full
33.55150792,35.39379013,full
33.51865934,35.38526877,full
33.56625218,35.41108694,full
33.53577973,35.38165688,full
33.53952742,35.58162091,full
33.66945,35.824214,full
33.562675,35.724044,full
33.8442,35.916808,full
33.8365883,35.9061458,full
33.538683,35.745519,full
33.52124704,35.79822422,full
33.761664,35.882819,full
33.620014,35.821708,full
33.589742,35.748439,full
33.6668,35.730308,full
33.610883,35.697639,full
34.431308,35.891628,full
34.259117,36.419356,full
33.764408,35.56565,full
33.780031,35.66753,full
33.810083,35.596392,full
33.8012279,35.70077249,full
33.26042273,35.21623154,full
33.26035871,35.21396008,full
33.25998646,35.21365114,full
33.26252768,35.21745889,full
33.54319357,35.57471578,full
33.56912916,35.57565246,full
33.5745215,35.57527599,full
33.56202457,35.3750568,full
33.51868639,35.38526527,full
33.555465,35.37223667,full
34.27807,35.828733,open
34.396661,35.895811,full
33.594839,35.622986,full
33.830967,36.044972,full
33.824456,36.033628,full
33.87232107,35.94503392,full
34.543328,36.077703,full
33.46494757,35.74548962,open
33.767286,35.548078,full
33.543593,35.58441259,full
33.54364083,35.45420158,full
33.54853484,35.38078793,full
33.542319,35.58597,full
33.857386,35.571497,full
33.572203,35.816322,full
34.150356,36.134339,full
34.124889,36.127639,full
34.085619,36.099117,full
34.179236,36.419592,open
33.5499817,35.37214702,full
33.45887816,35.38973531,full
33.56290249,35.37020835,full
33.55622451,35.39613004,full
33.55084667,35.37604667,full
33.27279951,35.19299447,full
33.5482092,35.5283172,full
34.437725,35.836844,full
34.284897,35.716614,full
34.397153,35.919775,full
34.292719,35.721422,full
34.388431,35.785906,full
34.437361,35.850097,full
34.120422,35.647114,full
34.148444,35.644933,full
34.549794,36.083033,open
34.587564,36.236436,open
34.622989,36.056936,open
34.519669,36.033004,full
33.86665431,35.86774439,full
33.820294,35.815536,full
33.8527757,35.89505807,full
34.505647,36.14458,full
33.8680426,35.9637174,full
33.748086,35.649397,full
33.48496018,35.36943355,full
34.453233,35.963306,full
34.227692,35.839058,full
33.56363318,35.57139124,full
33.27061332,35.19780063,full
33.56245128,35.36884512,full
33.55181372,35.37604182,full
33.55186274,35.37563466,full
33.81630616,35.64925426,full
33.82726296,35.64687283,full
34.299611,35.808006,full
34.2984,35.850361,full
34.418456,35.932961,full
33.82164239,35.7391885,full
34.457861,35.906919,open
33.67694,35.55944,open
33.776369,35.903289,full
33.794317,35.820272,full
34.438489,35.842781,open
34.367111,35.87895,full
34.256269,35.658111,full
33.876147,35.549034,full
34.524961,36.240711,open
34.540969,36.114778,open
33.6998015,35.5339865,full
33.71265924,35.55657731,full
33.62133,35.48698,full
33.87288211,35.52472708,full
33.6581863,35.4475238,full
33.6289881,35.5138616,full
33.6357113,35.5582925,full
33.610606,35.478739,full
33.63354457,35.53430394,full
33.661972,35.560381,full
33.599315,35.458475,full
33.623486,35.433875,full
33.890333,35.566283,full
33.914841,35.592088,full
33.887678,35.541194,full
33.906236,35.579781,full
33.7500227,35.463507,full
34.244703,36.402849,full
33.730739,35.456892,full
34.069648,35.885156,full
33.891467,35.740035,full
33.5500668,35.3734475,full
33.562603,35.367789,full
33.943925,35.789095,full
33.91494142,35.60869717,full
33.877347,35.534522,full
33.658028,35.486856,full
33.877799,35.577951,full
34.514892,36.196058,full
34.4677,36.088883,open
33.27299043,35.19377744,full
33.27090061,35.19743484,full
33.274117,35.192517,full
33.64604653,35.43841985,full
33.64034715,35.50553492,full
33.796589,35.649914,full
33.69618,35.561119,full
33.667442,35.425083,full
34.348297,35.786311,full
33.727008,35.526653,full
33.736358,35.544961,full
33.811236,35.520857,full
33.801117,35.868714,full
33.719528,35.854914,full
33.661247,35.778689,full
33.639972,35.505492,full
33.737308,35.597711,full
33.781772,35.590817,full
33.788922,35.542817,full
33.80113657,35.70103538,full
33.75545,35.571945,full
33.773239,35.70468,full
33.795117,35.538406,full
33.768758,35.628939,full
33.78116212,35.69755918,full
33.430033,35.738742,full
33.9067,35.7214,full
34.139811,35.66345,full
33.85700233,35.7829247,full
33.516878,35.766653,full
33.627761,35.7818,open
33.681189,35.814633,full
33.689853,35.847636,full
33.598275,35.761692,full
33.824272,35.836967,full
33.54769852,35.38071697,full
33.80252107,35.57692529,full
34.499053,35.992892,full
34.04890513,-117.1982422,full
33.665553,35.488372,full
34.39315,35.845791,open
34.365789,35.808419,full
33.549544,35.852242,full
33.398819,35.706253,full
33.606181,35.876297,full
34.005186,36.207957,open
33.55955209,35.37084077,full
34.480211,35.92933,open
33.55684283,35.39530761,full
33.735114,35.529758,full
33.810422,35.831047,full
33.641386,35.586622,full
33.54260515,35.58424266,full
33.614733,35.519792,full
33.8639653,35.51908276,full
34.502753,35.95023,full
34.03093409,35.69132357,full
34.627361,36.07565,full
33.585652,35.819001,full
34.071044,35.685239,full
33.84880903,35.61763315,full
33.807092,35.659283,full
33.834941,35.545514,full
33.872778,35.520833,full
33.61580624,35.41114769,full
34.612089,36.20827,full
33.608418,35.841982,full
33.97109446,35.69948421,full
34.259975,35.840817,full
33.75755763,35.6547447,full
34.066681,35.735319,full
33.780033,35.557678,full
33.856517,35.725092,full
33.51166629,35.40005614,full
33.86159271,35.52612877,full
33.83626652,35.53699639,full
33.8615729,35.5201126,full
34.084717,35.755736,full
33.76872998,35.49280577,full
33.783011,35.475942,full
33.781956,35.530675,full
33.83245,35.637275,full
33.91405648,35.58766332,full
34.409095,36.013478,open
33.911542,35.751388,full
34.061792,35.683172,full
34.2723289,36.4122423,open
34.38844694,36.51182625,open
33.62305,35.485017,full
34.03424835,35.69462427,full
33.527897,35.837903,open
34.328678,35.731272,open
33.91311506,35.59488088,full
34.274563,35.851169,full
33.863611,35.595594,full
33.866037,35.487796,full
33.97722206,35.65776151,full
33.851053,35.590108,full
33.615872,35.447344,full
33.7925416,35.67482342,full
34.137536,35.650442,full
34.132315,35.745147,full
33.7393715,35.4569266,full
34.079528,35.735131,full
34.092825,35.735522,full
34.114925,35.722356,full
34.132467,35.722669,full
34.098569,35.753745,full
33.54540735,35.37336112,full
34.091458,35.760889,full
34.108203,35.779636,full
34.109842,35.776956,full
34.093636,35.77415,full
34.087217,35.788461,full
34.080931,35.828542,full
34.097842,35.871044,full
34.074725,35.858975,full
33.54548501,35.44686462,full
33.76379697,35.46677276,full
33.86786,35.520215,full
33.58492285,35.91565266,full
33.80710037,35.50407462,full
33.80859526,35.59768642,full
33.56590647,35.37441881,full
34.12394962,36.12979865,full
34.512881,36.054167,open
33.56096708,35.37399076,full
33.55277616,35.37649779,full
33.84503376,35.73064926,full
33.83907527,35.7228111,full
33.793825,35.557744,full
33.60925329,35.40156851,full
33.60074089,35.61845851,full
33.26890266,35.20390806,full
33.59172814,35.74822027,full
33.80229145,35.5764843,full
33.69633667,35.55821667,full
33.29220956,35.25188815,full
33.657747,35.614747,full
34.07111,35.68917,full
33.9905788,35.64580382,full
33.45378432,35.32104365,full
33.45107258,35.32210188,full
33.8051226,35.52469158,full
33.82478456,35.7334642,full
33.50105065,35.34680641,full
33.50598882,35.44989524,full
34.50551963,36.14511584,full
33.988381,35.671303,full
33.97579967,35.64571134,full
33.978631,35.635997,full
33.98231,35.638183,full
33.9890603,35.70552525,full
33.965903,35.679883,full
34.344283,36.473242,full
34.02021595,35.66810269,full
34.017308,35.792537,full
33.665528,35.605932,full
33.59842974,35.54791379,full
33.678844,35.557908,full
34.168099,35.686383,full
33.51873056,35.38688333,full
33.51405083,35.37103186,full
34.587291,36.058146,open
34.018722,35.668961,full
34.09798554,35.65069822,full
33.757281,35.529228,full
33.78820249,35.48957145,full
33.75958894,35.70401343,full
33.658505,35.447153,full
34.14591358,35.6714639,full
33.322142,35.641453,full
33.382183,35.684028,full
33.08959289,35.37852616,open
34.171569,36.141167,full
33.87922329,35.54560808,full
34.45092837,35.81334025,open
33.27026868,35.20150586,full
33.465444,35.744361,open
33.686675,35.912131,full
33.643225,35.716633,open
5.68e-14,5.68e-14,full
33.49364911,35.42754333,full
33.55606884,35.39614664,full
34.45062955,35.81187045,full
33.800832,35.57794133,full
34.32382011,35.79686645,full
33.61127661,35.54180728,full
33.82727273,35.60852273,full
33.65081411,35.76205273,full
33.84893707,35.92549893,full
33.71139906,35.92293046,open
33.75785406,35.87576814,full
34.03348367,35.64010933,open
33.888167,35.500906,full
33.86738174,35.49308819,full
33.8770866,35.49482572,full
33.88276833,35.50888469,full
33.89159764,35.4873759,full
33.89311111,35.49677778,full
33.89373447,35.50185564,full
33.88456117,35.4966691,full
33.88098894,35.50705353,full
33.89360828,35.50182343,full
33.89562428,35.47449456,full
33.88294444,35.50033333,full
33.89441589,35.47733069,full
33.86794232,35.49300341,full
33.88841667,35.48163889,full
33.89189519,35.4994166,full
33.87359713,35.49539361,full
33.89097872,35.50229083,full
33.86908298,35.49227776,full
33.8819176,35.49850397,full
33.88358626,35.50486847,full
33.88825,35.49497222,full
33.8756123,35.49904969,full
33.89775,35.47941667,full
33.86926574,35.49114564,full
33.88050356,35.49766378,full
33.87542702,35.50339463,full
33.88522122,35.49043086,full
33.86591593,35.49232758,full
33.88987774,35.50551053,full
33.894594,35.478189,full
33.881453,35.506863,full
33.890572,35.5029,full
33.8867853,35.50708354,full
33.89441667,35.48141667,full
33.89457778,35.48472485,full
33.88091667,35.48527778,full
33.89392298,35.50168944,full
33.89109943,35.49661332,full
33.89298595,35.4952364,full
33.89,35.49561111,full
33.87396616,35.50184968,full
33.88104844,35.48478283,full
33.8955166,35.49291722,full
33.88702778,35.50394444,full
33.87804392,35.48697228,full
33.89936221,35.4926501,full
33.88289569,35.49970712,full
33.89438889,35.50491667,full
33.8884716,35.4860881,full
33.88184491,35.5057472,full
33.87936812,35.50077264,full
33.88398255,35.50982416,full
33.88377778,35.49869444,full
33.86875,35.48972222,full
33.8705827,35.48865867,full
33.89468191,35.48298639,full
33.89539499,35.48114959,full
33.8763445,35.4825266,full
33.89055556,35.49544444,full
33.86972,35.48278,full
33.88660859,35.49257958,full
33.8877,35.4734,full
33.900039,35.485097,full
33.896312,35.481959,full
33.89986966,35.48929224,full
33.89929396,35.49217392,full
33.87301932,35.4920636,full
33.88985,35.47393,full
33.90263889,35.53758333,full
33.87439539,35.49226528,full
33.89686111,35.47144444,full
33.88654208,35.49650077,full
33.89686111,35.48061111,full
33.89330504,35.49691489,full
33.89403279,35.5019615,full
33.88006417,35.50883271,full
33.88588882,35.4948498,full
33.87185722,35.50880984,full
33.89141667,35.49852778,full
33.87178136,35.50985021,full
33.87134787,35.50922166,full
33.87058926,35.50942756,full
33.87143456,35.5106305,full
33.87090354,35.5110098,full
33.87241587,35.49045964,full
33.8704595,35.49774321,full
33.89435346,35.49993891,full
33.86600665,35.50706038,full
33.87040874,35.50013318,full
33.8744189,35.49233365,full
33.89616355,35.48387285,full
33.88206235,35.50214206,full
34.3254959,35.79734525,full
33.69183,35.908073,potential
33.526001,35.651569,potential
33.518497,35.653172,potential
33.604633,35.698654,potential
33.610001,35.697872,potential
33.565399,35.721371,potential
33.5158,35.686672,potential
33.514736,35.685497,potential
33.479649,35.724247,potential
33.433701,35.65387,potential
33.760899,35.881069,potential
33.605999,35.94677,potential
33.55468,36.009163,potential
33.571198,35.816372,potential
33.586998,35.819672,potential
33.6157,35.853271,potential
33.6059,35.879169,potential
33.570999,35.848469,potential
33.553799,35.85817,potential
33.502998,35.84647,potential
33.506901,35.881672,potential
33.5364,35.892872,potential
33.493,35.810772,potential
33.472797,35.802872,potential
33.531498,35.740871,potential
33.524899,35.781071,potential
33.521099,35.797771,potential
33.529697,35.834469,potential
33.562798,35.821869,potential
33.767399,35.808971,potential
33.761497,35.893272,potential
33.746449,35.862976,potential
33.678398,35.866272,potential
33.772598,35.978069,potential
33.804798,35.90617,potential
33.529198,35.78117,potential
33.8629,36.024872,potential
33.8288,36.04377,potential
33.757298,35.905472,potential
33.6609,35.777172,potential
33.660927,35.778141,potential
33.516998,35.827171,potential
33.821701,35.880169,potential
33.684502,35.910694,potential
33.511845,35.687641,potential
33.77681,35.927647,potential
33.461372,35.630116,potential
33.600758,35.762398,potential
33.481064,35.722679,potential
33.860607,35.89328,potential
33.850597,35.894772,potential
33.848301,35.895969,potential
33.848499,35.902271,potential
33.847,35.905369,potential
33.848999,35.902672,potential
33.847401,35.903271,potential
33.8479,35.903572,potential
33.836399,35.90657,potential
33.844101,35.907471,potential
33.845898,35.919971,potential
33.884399,35.875969,potential
33.880798,35.86837,potential
33.873398,35.941471,potential
33.816898,35.87067,potential
33.816776,35.870506,potential
33.820599,35.877571,potential
33.846298,36.00317,potential
33.8507,36.008472,potential
33.848598,36.01017,potential
33.8689,35.962669,potential
33.8927,35.965771,potential
33.862698,36.03027,potential
33.8647,36.06147,potential
33.8498,36.030369,potential
33.848999,36.066269,potential
33.787098,35.994473,potential
33.795399,36.004971,potential
33.825901,36.032372,potential
33.787098,35.969269,potential
33.778198,35.902569,potential
33.778,35.900471,potential
33.778801,35.901371,potential
33.7094,35.909069,potential
33.704624,35.901787,potential
33.789482,35.819553,potential
33.792801,35.821972,potential
33.789497,35.819771,potential
33.812599,35.810871,potential
33.818199,35.81377,potential
33.679691,35.813034,potential
33.69416,35.844482,potential
33.723221,35.856346,potential
33.760201,35.881672,potential
33.752708,35.87114,potential
33.628498,35.79797,potential
33.618145,35.777294,potential
33.624901,35.823071,potential
33.625599,35.824772,potential
33.624763,35.822811,potential
33.65506,35.736259,potential
33.673698,35.826572,potential
33.672001,35.828171,potential
33.646698,35.88237,potential
33.649601,35.884972,potential
33.562492,35.375351,potential
33.562885,35.374691,potential
33.561234,35.381607,potential
33.555855,35.37233,potential
33.557396,35.373268,potential
33.563301,35.370369,potential
33.572968,35.380554,potential
33.568501,35.380318,potential
33.548618,35.381268,potential
33.556942,35.395992,potential
33.540459,35.404518,potential
33.534134,35.415199,potential
33.541794,35.395363,potential
33.536007,35.382019,potential
33.515255,35.366253,potential
33.511707,35.372295,potential
33.510006,35.445747,potential
33.504704,35.457054,potential
33.501575,35.477219,potential
33.518101,35.383804,potential
33.519085,35.385696,potential
33.519081,35.385971,potential
33.500149,35.403816,potential
33.482307,35.425179,potential
33.493259,35.427277,potential
33.493027,35.427395,potential
33.488647,35.438843,potential
33.503136,35.384811,potential
33.485077,35.369873,potential
33.462818,35.415443,potential
33.446049,35.382698,potential
33.448551,35.38089,potential
33.478096,35.344982,potential
33.47575,35.364346,potential
33.464584,35.349689,potential
33.403461,35.273628,potential
33.403549,35.273464,potential
33.415588,35.276711,potential
33.42664,35.288158,potential
33.436863,35.28038,potential
33.45153,35.3036,potential
33.448353,35.323025,potential
33.431816,35.343933,potential
33.416531,35.384686,potential
33.421692,35.363136,potential
33.423382,35.344299,potential
33.423515,35.344677,potential
33.435314,35.373196,potential
33.343468,35.321377,potential
33.340305,35.316563,potential
33.337196,35.308975,potential
33.340149,35.29763,potential
33.372532,35.301964,potential
33.544312,35.452667,potential
33.544987,35.446915,potential
33.550407,35.528656,potential
33.539326,35.581051,potential
33.539192,35.581291,potential
33.542767,35.584789,potential
33.448036,35.575428,potential
33.259815,35.213055,potential
33.260017,35.215805,potential
33.271881,35.220154,potential
33.274567,35.212055,potential
33.26218,35.229588,potential
33.314899,35.24707,potential
33.297318,35.281986,potential
33.29665,35.282455,potential
33.312851,35.270504,potential
33.289898,35.310604,potential
33.3134,35.301052,potential
33.300697,35.316704,potential
33.289883,35.34272,potential
33.273018,35.351719,potential
33.292217,35.350803,potential
33.303349,35.340572,potential
33.278481,35.392838,potential
33.251583,35.398319,potential
33.269032,35.409939,potential
33.248051,35.379669,potential
33.248333,35.378639,potential
33.285965,35.38567,potential
33.238533,35.339088,potential
33.236816,35.346439,potential
33.2467,35.322136,potential
33.229233,35.365505,potential
33.219067,35.346302,potential
33.252983,35.339252,potential
33.262833,35.379387,potential
33.276333,35.311253,potential
33.276451,35.311111,potential
33.269447,35.28677,potential
33.223465,35.306038,potential
33.254101,35.272369,potential
33.25423,35.274155,potential
33.260143,35.301529,potential
33.207798,35.293571,potential
33.210033,35.296238,potential
33.2034,35.326771,potential
33.2033,35.33387,potential
33.179001,35.31147,potential
33.174,35.29327,potential
33.162899,35.261272,potential
33.195301,35.27837,potential
33.203197,35.260471,potential
33.209499,35.25267,potential
33.222298,35.24987,potential
33.2202,35.23877,potential
33.223568,35.258686,potential
33.2323,35.268471,potential
33.2304,35.263569,potential
33.217766,35.272869,potential
33.1992,35.232971,potential
33.1726,35.214771,potential
33.154198,35.221069,potential
33.128799,35.215172,potential
33.1017,35.187771,potential
33.103798,35.219471,potential
33.108799,35.236771,potential
33.118698,35.142372,potential
33.462769,35.326077,potential
33.339142,35.285572,potential
33.547234,35.379894,potential
33.439926,35.306789,potential
33.2542,35.27457,potential
33.249401,35.304173,potential
33.565941,35.410831,potential
33.243,35.376972,potential
33.568207,35.379436,potential
33.567696,35.377666,potential
33.552917,35.395954,potential
33.451439,35.388199,potential
33.192699,35.32357,potential
33.283001,35.380672,potential
33.433002,35.279839,potential
33.105759,35.263351,potential
33.443871,35.38097,potential
33.197556,35.222916,potential
33.40934,35.286587,potential
33.550304,35.373933,potential
34.455997,36.073971,potential
34.484501,36.13007,potential
34.624767,36.391422,potential
34.482018,35.933136,potential
34.445499,35.857536,potential
34.445351,35.831886,potential
34.415268,35.852505,potential
34.439533,35.851353,potential
34.437199,35.840103,potential
34.439598,35.851238,potential
34.415234,35.85247,potential
34.434231,35.847771,potential
34.397999,36.054569,potential
34.419399,36.09877,potential
34.390198,36.06147,potential
34.490799,35.971371,potential
34.614632,36.390587,potential
34.623032,36.388271,potential
34.612965,36.43082,potential
34.499966,35.982502,potential
34.459499,36.123672,potential
34.300766,35.834953,potential
34.447067,35.851921,potential
34.4286,35.853569,potential
34.484657,35.951469,potential
34.449799,35.86657,potential
34.493099,36.04937,potential
34.625698,36.07777,potential
34.3941,35.91827,potential
34.446899,35.870205,potential
34.454067,35.872803,potential
34.594933,36.062939,potential
34.477615,36.089954,potential
34.407681,35.84816,potential
34.628517,36.383137,potential
34.512615,36.05632,potential
34.601383,36.284222,potential
34.571068,36.296288,potential
34.576099,36.019272,potential
34.452259,35.808411,potential
34.535835,36.204536,potential
34.560966,36.357254,potential
34.622433,36.387905,potential
34.628418,36.374138,potential
34.508812,35.970226,potential
34.506191,35.990585,potential
34.451797,35.86322,potential
34.451832,35.863239,potential
34.389801,36.056469,potential
34.436932,35.851078,potential
34.434902,35.852314,potential
34.406223,35.98827,potential
34.42131,35.991837,potential
34.454861,35.959854,potential
34.404964,36.031353,potential
34.635181,36.336605,potential
34.618134,36.242687,potential
34.614384,36.376244,potential
34.531231,36.005661,potential
34.66251,36.331661,potential
34.557556,35.996578,potential
34.438858,35.849808,potential
34.392239,35.898239,potential
34.541195,36.108494,potential
34.59692,36.286858,potential
34.623276,36.10199,potential
34.379929,35.979622,potential
34.556622,36.343094,potential
34.50975,35.968216,potential
34.439999,36.175476,potential
34.609974,36.205437,potential
34.458317,35.898018,potential
34.680756,36.344296,potential
34.353294,35.737976,potential
34.49094,36.012589,potential
34.633038,36.379868,potential
34.434669,36.065659,potential
34.42347,35.834469,potential
34.423481,35.834442,potential
34.43824,35.838829,potential
34.436558,35.83493,potential
34.436939,35.834682,potential
34.43449,35.838951,potential
34.439751,35.831821,potential
34.434059,35.839642,potential
34.43874,35.840252,potential
34.43375,35.839241,potential
34.43885,35.838642,potential
34.444439,35.844959,potential
34.443977,35.836449,potential
34.43996,35.841442,potential
34.43977,35.842949,potential
34.4431,35.842892,potential
34.438534,35.832771,potential
34.43375,35.845505,potential
34.441467,35.843941,potential
34.443016,35.843502,potential
34.44857,35.809872,potential
34.446148,35.818554,potential
34.449299,35.812355,potential
34.451183,35.813854,potential
34.447285,35.830963,potential
34.443531,35.817471,potential
34.447582,35.820419,potential
34.448299,35.816902,potential
34.453766,35.811054,potential
34.447315,35.820972,potential
34.44825,35.811787,potential
34.447048,35.83012,potential
34.447731,35.815189,potential
34.454365,35.810055,potential
34.430298,35.839336,potential
34.433548,35.843388,potential
34.430965,35.841454,potential
34.429699,35.841621,potential
34.426598,35.845535,potential
34.426701,35.842587,potential
34.433517,35.843388,potential
34.426018,35.841305,potential
34.429737,35.842876,potential
34.428482,35.842655,potential
34.426018,35.845871,potential
34.416149,35.84417,potential
34.426632,35.845688,potential
34.426666,35.845654,potential
34.422882,35.841522,potential
34.428749,35.841488,potential
34.426617,35.844654,potential
34.434532,35.846737,potential
34.440659,35.847572,potential
34.442982,35.854969,potential
34.439865,35.851803,potential
34.434967,35.847637,potential
34.434349,35.848721,potential
34.439301,35.854504,potential
